Mon Sep 25 22:38:05 2023    profile_results

         21061 function calls (20972 primitive calls) in 165.701 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    1.174    0.391 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\context.py:222(_Popen)
       31    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\context.py:233(get_context)
        4    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\context.py:249(get_start_method)
        4    0.000    0.000    1.180    0.295 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\context.py:324(_Popen)
      833    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\context.py:351(get_spawning_popen)
        8    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\context.py:354(set_spawning_popen)
      312    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\context.py:357(assert_spawning)
        4    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:61(_cleanup)
        8    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:94(<genexpr>)
        4    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:80(__init__)
       13    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:99(_check_closed)
        4    0.000    0.000    1.180    0.295 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:110(start)
        4    0.000    0.000    0.002    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:128(terminate)
        2    0.000    0.000    1.057    0.528 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:142(join)
        3    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:153(is_alive)
        4    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:189(name)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:193(name)
        2    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:205(daemon)
        5    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:213(authkey)
       18    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:344(__reduce__)
       21    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\reduction.py:38(__init__)
        4    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\reduction.py:43(register)
       13    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\reduction.py:48(dumps)
        8    0.000    0.000    0.003    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\reduction.py:58(dump)
      247    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\reduction.py:71(duplicate)
       53    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\reduction.py:106(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\reduction.py:206(_reduce_method)
        5    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\util.py:44(sub_debug)
      116    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\util.py:48(debug)
        3    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\util.py:52(info)
        6    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\util.py:171(register_after_fork)
        8    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\util.py:186(__init__)
        5    0.000    0.000    1.085    0.217 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\util.py:205(__call__)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\util.py:369(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\util.py:373(_reset)
        3    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\util.py:378(__enter__)
        3    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\util.py:381(__exit__)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\util.py:386(__init__)
       13    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:59(_init_timeout)
       15    0.000    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:69(arbitrary_address)
       13    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:83(_validate_family)
       13    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:95(address_type)
       43    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:117(__init__)
       43    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:130(__del__)
      158    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:134(_check_closed)
       53    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:138(_check_readable)
       52    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:142(_check_writable)
      106    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:158(readable)
      106    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:163(writable)
       53    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:168(fileno)
        6    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:173(close)
       39    0.000    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:181(send_bytes)
       13    0.000    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:202(send)
       39    0.000    0.000    0.035    0.001 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:208(recv_bytes)
       14    0.000    0.000    4.436    0.317 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:246(recv)
       43    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:276(_close)
       52    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:279(_send_bytes)
       53    0.000    0.000    4.470    0.084 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:294(_recv_bytes)
       13    0.000    0.000    0.039    0.003 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:493(Client)
       15    0.000    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:535(Pipe)
       13    0.000    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:695(PipeClient)
       13    0.000    0.000    0.002    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:732(deliver_challenge)
       13    0.000    0.000    0.036    0.003 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:747(answer_challenge)
       53    0.000    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\connection.py:956(reduce_pipe_connection)
        4    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\site-packages\six.py:194(find_spec)
        4    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\site-packages\urllib3\packages\six.py:190(find_spec)
        1    0.000    0.000    4.465    4.465 C:\Users\EunKyue Sohn\OneDrive - 시티아이랩\문서\python_scripts\gs_simple_tracker_demo_gui\shared_variables.py:4(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:49(<listcomp>)
        3    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:66(__init__)
        9    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:69(__getstate__)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:60(Token)
       13    0.000    0.000    0.006    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:83(dispatch)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:108(RemoteError)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:137(Server)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:490(State)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:516(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:577(<genexpr>)
        1    0.000    0.000    4.437    4.437 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:552(start)
        3    0.000    0.000    0.008    0.003 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:618(_create)
        1    0.001    0.001    1.062    1.062 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:675(_finalize_manager)
        3    0.000    0.000    0.018    0.006 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:738(temp)
       17    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:711(register)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:509(BaseManager)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:756(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:755(ProcessLocalSet)
        3    0.000    0.000    0.005    0.002 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:772(__init__)
        3    0.000    0.000    0.005    0.002 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:858(_incref)
        3    0.000    0.000    0.022    0.007 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:878(_decref)
        9    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:911(__reduce__)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:765(BaseProxy)
        4    0.000    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:965(MakeProxyType)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:1016(Namespace)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:1028(Value)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:1047(IteratorProxy)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:1061(AcquirerProxy)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:1074(ConditionProxy)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:1101(EventProxy)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:1113(BarrierProxy)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:1132(NamespaceProxy)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:1151(ValueProxy)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:1166(ListProxy)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:1201(PoolProxy)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:1211(SyncManager)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:1248(_SharedMemoryTracker)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:1285(SharedMemoryServer)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:1341(SharedMemoryManager)
        1    0.000    0.000    0.002    0.002 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\managers.py:11(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\shared_memory.py:48(SharedMemory)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\shared_memory.py:246(ShareableList)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\shared_memory.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\popen_spawn_win32.py:22(_path_eq)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\popen_spawn_win32.py:28(_close_handles)
       20    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\popen_spawn_win32.py:57(<genexpr>)
        4    1.160    0.290    1.178    0.295 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\popen_spawn_win32.py:44(__init__)
      247    0.000    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\popen_spawn_win32.py:97(duplicate_for_child)
       11    0.000    0.000    1.057    0.096 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\popen_spawn_win32.py:101(wait)
        9    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\popen_spawn_win32.py:117(poll)
        4    0.000    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\popen_spawn_win32.py:120(terminate)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\popen_spawn_win32.py:38(Popen)
        1    0.000    0.000    0.001    0.001 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\popen_spawn_win32.py:1(<module>)
        4    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\spawn.py:45(get_executable)
       12    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\spawn.py:87(<genexpr>)
        4    0.001    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\spawn.py:78(get_command_line)
        4    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\spawn.py:132(_check_not_importing_main)
        4    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\spawn.py:150(get_preparation_data)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\spawn.py:11(<module>)
       93    0.001    0.000    0.002    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:50(__init__)
       93    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:90(_make_methods)
      158    0.001    0.000    1.117    0.007 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:94(__enter__)
      158    0.000    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:97(__exit__)
      247    0.000    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:100(__getstate__)
       93    0.000    0.000    0.002    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:114(_make_name)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:46(SemLock)
       52    0.000    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:125(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:123(Semaphore)
       14    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:144(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:142(BoundedSemaphore)
       27    0.000    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:161(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:159(Lock)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:184(RLock)
       13    0.000    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:212(__init__)
       39    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:219(__getstate__)
      158    0.002    0.000    1.119    0.007 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:229(__enter__)
      158    0.001    0.000    0.002    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:232(__exit__)
       13    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:235(_make_methods)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:210(Condition)
       13    0.000    0.000    0.002    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:323(__init__)
      158    0.008    0.000    1.131    0.007 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:327(is_set)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:321(Event)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:360(Barrier)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\synchronize.py:11(<module>)
       14    0.000    0.000    0.002    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\queues.py:36(__init__)
       26    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\queues.py:57(__getstate__)
       14    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\queues.py:67(_after_fork)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\queues.py:34(Queue)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\queues.py:289(JoinableQueue)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\queues.py:332(SimpleQueue)
        1    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\queues.py:10(<module>)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
